image,labels,n_objects,split,contains_top
X6lV7nhXRQhPiT1xd-Pb8w,"['other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,train,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
XAEQt2zGGS05AVtwKsUb0Q,"['warning--double-curve-first-left--g2', 'regulatory--lane-control--g1', 'complementary--chevron-left--g1', 'complementary--maximum-speed-limit-20--g1', 'complementary--maximum-speed-limit-20--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'warning--pass-left-or-right--g2', 'other-sign', 'other-sign']",14,test,"['other-sign', 'complementary--chevron-left--g1']"
XD5pxbYtpEbAusMsMb2CTA,"['regulatory--no-entry--g1', 'regulatory--keep-right--g4']",2,train,['regulatory--no-entry--g1']
XGAHf4Jt4ZP5k_kAQ88X2w,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,train,['complementary--chevron-left--g1']
XGJHoUKfpu-A-kbbfFmxTw,"['other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'information--pedestrians-crossing--g1']"
XKr5xNUuJuokcp_zXm9aAQ,"['other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'information--bike-route--g1', 'other-sign', 'regulatory--no-right-turn--g2', 'other-sign', 'other-sign', 'regulatory--no-right-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",16,train,"['other-sign', 'regulatory--yield--g1']"
XL5HWNEq7lzA79MQWrpmSg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-pedestrians--g2', 'other-sign', 'other-sign', 'regulatory--no-turn-on-red--g1', 'other-sign']",17,train,"['other-sign', 'regulatory--no-entry--g1']"
XOUJopDgEde2CJqP-uIlCQ,"['regulatory--no-vehicles-carrying-dangerous-goods--g1', 'complementary--trucks-turn-right--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g5', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,['other-sign']
XOo0VYMEc6ltjIVFRozUpw,"['regulatory--no-overtaking--g5', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-overtaking--g5', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'regulatory--width-limit--g1', 'other-sign', 'complementary--chevron-left--g1']",14,train,"['other-sign', 'complementary--chevron-left--g1']"
XQlswMao9VQ5tMvwk8Ld8A,"['warning--curve-left--g2', 'complementary--maximum-speed-limit-45--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
XTfKSoHgipuijEg0PJS1aw,"['other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--go-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,train,"['other-sign', 'complementary--chevron-left--g1']"
XZjskkw72dPnHVdMPSZ4bw,"['other-sign', 'other-sign', 'regulatory--one-way-left--g1', 'other-sign', 'other-sign']",5,val,['other-sign']
Xd3Mon_RE-Wn4HUuLjgsXw,"['regulatory--yield--g1', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'regulatory--turn-right-ahead--g1', 'information--tram-bus-stop--g2', 'information--pedestrians-crossing--g1', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
Xfsx21Uy3Uo30LYw9zNWxQ,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,test,['complementary--chevron-left--g1']
XgRTcEJ7XjrrnT-i5LRh6A,"['other-sign', 'other-sign', 'other-sign', 'regulatory--stop--g1']",4,train,['other-sign']
XkOdnPhhpXV94Go2FaWlaQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--priority-road--g4', 'warning--railroad-crossing-with-barriers--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",31,test,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Xpf4Ej2KfnxNLPdRPHQtUQ,"['warning--roadworks--g4', 'other-sign']",2,val,['other-sign']
XrMDS73xGimskGte8I_GTw,"['regulatory--no-parking--g2', 'regulatory--maximum-speed-limit-55--g2', 'regulatory--maximum-speed-limit-55--g2', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign']",7,train,"['other-sign', 'regulatory--no-entry--g1']"
XrOwgWixk_GZgiZlzDEC_A,"['other-sign', 'regulatory--height-limit--g1', 'other-sign', 'other-sign', 'information--end-of-motorway--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--obstacle-delineator--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--pass-on-either-side--g1']",17,train,"['other-sign', 'complementary--chevron-left--g1']"
Xruc7IhjE42Facs0E5-8Fg,"['regulatory--maximum-speed-limit-led-80--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,val,"['other-sign', 'regulatory--no-entry--g1']"
XvNvo6C6QJokEwMgzdmiRQ,"['other-sign', 'warning--junction-with-a-side-road-acute-left--g1', 'other-sign', 'complementary--chevron-left--g3']",4,train,['other-sign']
XzJUNdgvsQI0XBUR5u4vAQ,"['warning--curve-left--g2', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,train,"['other-sign', 'complementary--chevron-left--g1']"
Y-GecmTk9Ad4BQYEVy_9og,"['regulatory--one-way-left--g1', 'regulatory--no-entry--g1', 'regulatory--turn-right-ahead--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1']",6,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Y2RlR2dkM0D9hbgxFWlDow,"['regulatory--yield--g1', 'regulatory--turn-right--g1', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1']"
Y2VZaNKlI3ly8nEvvYGowA,['information--pedestrians-crossing--g1'],1,train,['information--pedestrians-crossing--g1']
YA0J7e1avq-THHh8kt0ZPw,"['regulatory--keep-left--g1', 'regulatory--keep-left--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g3', 'other-sign']",8,train,"['other-sign', 'regulatory--no-entry--g1']"
YGDGrN_rShSHot_cPTsghw,"['warning--railroad-crossing-without-barriers--g3', 'information--pedestrians-crossing--g1', 'regulatory--maximum-speed-limit-40--g1', 'warning--uneven-road--g6', 'other-sign', 'other-sign']",6,train,"['other-sign', 'information--pedestrians-crossing--g1']"
YGIYDzdAliVaFAh0dXk4ng,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--turn-right--g1', 'regulatory--yield--g1', 'other-sign', 'regulatory--no-left-turn--g1', 'other-sign', 'other-sign', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--go-straight--g1', 'other-sign']",34,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
YI_5WAdQeAIw5Ts6Gp-Vlw,"['information--parking--g1', 'regulatory--no-parking--g1', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'information--parking--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--parking--g1', 'other-sign', 'other-sign', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",24,train,"['other-sign', 'information--pedestrians-crossing--g1']"
YJcdDd-Dyk6MvUXJQBlypw,"['complementary--chevron-left--g1', 'warning--curve-left--g2', 'complementary--chevron-left--g1', 'complementary--maximum-speed-limit-40--g1', 'complementary--chevron-left--g1']",5,train,['complementary--chevron-left--g1']
YMh5ZGW16cp88GtDmLMlQA,"['other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",4,val,"['other-sign', 'complementary--chevron-left--g1']"
YOz2Z4o2YVkT2Vq3HDN3Ow,"['information--end-of-built-up-area--g1', 'other-sign', 'other-sign']",3,train,['other-sign']
Ya3dnQrtpri0RJcRKgut9g,"['regulatory--no-u-turn--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'regulatory--yield--g1']"
Yd5Hld7Z934eohjMaRJZ1w,"['other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",3,test,"['other-sign', 'complementary--chevron-left--g1']"
YdlCtVIV3udpjm_cfQjoVQ,"['regulatory--no-heavy-goods-vehicles--g4', 'regulatory--no-heavy-goods-vehicles--g4', 'regulatory--no-heavy-goods-vehicles--g2', 'other-sign']",4,train,['other-sign']
YfGZeqW9y_oIzMsFPXwJag,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--road-closed-to-vehicles--g3']",3,train,"['other-sign', 'information--pedestrians-crossing--g1']"
Yhu_MMHgfDaiyBKVgFEWyQ,['other-sign'],1,train,['other-sign']
YhvTy-m6SFKod640FAN8Lg,"['warning--falling-rocks-or-debris-right--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'complementary--chevron-left--g1']"
YlgujJ-a0WDtUnMyVggPYQ,"['regulatory--stop--g2', 'other-sign', 'regulatory--yield--g1']",3,train,"['other-sign', 'regulatory--yield--g1']"
Yqpc23kl4ogCSgQH89XOUA,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--turn-right--g1', 'regulatory--height-limit--g1', 'regulatory--height-limit--g1']",5,val,['regulatory--yield--g1']
Z0H-vTWkNVXmZEvcGsa7sw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--roundabout--g25', 'warning--children--g2', 'other-sign']",6,test,"['other-sign', 'complementary--chevron-left--g1']"
Z7fKKZAuQ5dc9s-5IXKc4A,"['other-sign', 'regulatory--no-parking--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'regulatory--keep-right--g1']",6,train,"['other-sign', 'regulatory--yield--g1']"
ZA32QFKoaxTm9OFoBuLx7A,"['other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--one-way-right--g1']",5,test,"['other-sign', 'information--pedestrians-crossing--g1']"
ZB2hgHm7VvYpU4ZLHWkmKA,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--priority-road--g4', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'regulatory--no-parking--g1', 'other-sign', 'other-sign']",13,train,"['other-sign', 'regulatory--yield--g1']"
ZFEBsdLFfN533Bu68a6lmg,"['regulatory--no-heavy-goods-vehicles--g4', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,train,"['other-sign', 'regulatory--no-entry--g1']"
ZGA4isHz9A51dPH6LgUJXQ,"['other-sign', 'information--pedestrians-crossing--g1']",2,train,"['other-sign', 'information--pedestrians-crossing--g1']"
ZGCxVJJOUn_1iPr8AjVCqw,"['other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-right--g3', 'other-sign', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--stop--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g2', 'other-sign', 'other-sign']",20,val,"['other-sign', 'regulatory--no-entry--g1']"
ZI1UF4iSYgd3pE2bmJdtSQ,"['other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'information--tram-bus-stop--g2']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
ZM7zOyKxCfDUozcWKJj1WA,"['regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'warning--two-way-traffic--g1', 'information--pedestrians-crossing--g1']",10,test,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
ZNZB8xdPxFyLULTIJd1M4g,"['other-sign', 'warning--turn-right--g1', 'complementary--chevron-left--g1', 'other-sign']",4,test,"['other-sign', 'complementary--chevron-left--g1']"
ZROR3XdZhTUpah3yAuWP7g,"['regulatory--keep-right--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,val,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
ZSE39deTQOI1QpWJLUZo0w,"['other-sign', 'regulatory--stop--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,['other-sign']
ZT0p-r_J_eC0-HqF43gTqg,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--road-closed-to-vehicles--g3', 'other-sign', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
ZTShDSF91lkBM5xqaHDpDA,"['other-sign', 'other-sign', 'other-sign']",3,train,['other-sign']
ZUgHP0X1gSYZYcZFG5l0BA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--no-motor-vehicles-except-motorcycles--g2', 'other-sign']",6,test,"['other-sign', 'complementary--chevron-left--g1']"
ZUsazhhad1-kXmzLTekwVg,"['regulatory--no-entry--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'regulatory--no-entry--g1']"
ZY--wvdD39f15S9tZup3fA,"['complementary--chevron-left--g1', 'other-sign']",2,train,"['other-sign', 'complementary--chevron-left--g1']"
ZY6sVEKnpWIHk7RjM4_w-Q,"['information--pedestrians-crossing--g1', 'regulatory--one-way-straight--g1', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
Zb8RvqigGouqL_h62zjHyQ,"['regulatory--yield--g1', 'regulatory--one-way-left--g3', 'other-sign', 'regulatory--no-left-turn--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
ZbbznxoV6ClEeYLH0yjlQg,['information--pedestrians-crossing--g1'],1,train,['information--pedestrians-crossing--g1']
ZetaaTu1lNS_zON_DdhB5A,"['other-sign', 'warning--traffic-signals--g3', 'other-sign', 'other-sign', 'other-sign']",5,train,['other-sign']
ZnKHzwdBdFx88HbuBwaJ1Q,"['regulatory--triple-lanes-turn-left-center-lane--g1', 'other-sign', 'other-sign', 'complementary--turn-left--g2', 'other-sign', 'regulatory--one-way-left--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--turn-left--g2', 'regulatory--triple-lanes-turn-left-center-lane--g1', 'other-sign', 'regulatory--one-way-right--g3', 'regulatory--one-way-right--g3', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",27,train,"['other-sign', 'regulatory--no-entry--g1']"
ZqyLkoG9GEGG9tntQMkosA,"['other-sign', 'other-sign', 'regulatory--no-turn-on-red--g3', 'regulatory--no-entry--g1', 'regulatory--keep-right--g4']",5,train,"['other-sign', 'regulatory--no-entry--g1']"
ZrEj_pKiOZFxYzrCXA2djA,"['information--disabled-persons--g1', 'regulatory--no-parking--g2', 'regulatory--keep-right--g4', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-parking--g2', 'other-sign']",19,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Zu2brywZOatNwsgAzG2DHw,"['information--disabled-persons--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,train,['other-sign']
Zueu8BotBo4I92MXK3tvmg,"['complementary--chevron-right--g4', 'complementary--chevron-right--g4', 'regulatory--stop--g1', 'regulatory--roundabout--g1', 'regulatory--no-entry--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",8,test,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
Zwr4UV6QRtqe2w-eG_-Tbw,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--turn-left--g1', 'warning--turn-left--g1']",11,test,"['other-sign', 'complementary--chevron-left--g1']"
ZzDvvWxVfKwCdGtDKtiARQ,['other-sign'],1,train,['other-sign']
_-31vo1jHS9kOpGk1mM2TA,"['complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",4,test,"['other-sign', 'complementary--chevron-left--g1']"
_5gfyxmo-KBMDuJHdYg_nQ,"['other-sign', 'complementary--obstacle-delineator--g1']",2,test,['other-sign']
_9EZcCoVyMCOvr-ItOfE5w,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",16,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
_AMTVNEBtCJ6x7RY1XViBA,"['other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1']",8,train,"['other-sign', 'complementary--chevron-left--g1']"
_E0yUUFLNfcpEcU3n0Cxow,"['regulatory--one-way-straight--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
_GDxy6PsTPZtneuWOVxxiQ,['complementary--chevron-left--g1'],1,train,['complementary--chevron-left--g1']
_I8ij42B8f1iuNfm9GkA8Q,"['warning--texts--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",4,val,"['other-sign', 'complementary--chevron-left--g1']"
_JJT0_vzPb4ooDz2GWUVrA,"['warning--roadworks--g3', 'regulatory--pedestrians-only--g1', 'warning--other-danger--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,train,"['other-sign', 'information--pedestrians-crossing--g1']"
_LEvJ00wS94GUriLS7czaA,"['regulatory--yield--g1', 'regulatory--turn-right-ahead--g2', 'other-sign', 'warning--pedestrians-crossing--g4', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-60--g1']",8,test,"['other-sign', 'regulatory--yield--g1']"
_M2TiU92N9MXUyWEBWFcpQ,"['warning--junction-with-a-side-road-perpendicular-left--g3', 'complementary--maximum-speed-limit-55--g1', 'warning--double-curve-first-left--g2', 'complementary--chevron-left--g1', 'other-sign']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
_Pd5iO7F5o1dq3iu4SpHww,"['regulatory--yield--g1', 'regulatory--maximum-speed-limit-40--g1', 'information--pedestrians-crossing--g1', 'regulatory--roundabout--g1']",4,train,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
_V7jPTm4MeQY-drvCCbFqQ,"['regulatory--go-straight--g1', 'regulatory--no-u-turn--g1', 'regulatory--no-parking--g1', 'regulatory--no-u-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'complementary--extent-of-prohibition-area-both-direction--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign']",16,train,"['other-sign', 'regulatory--no-entry--g1']"
_Xa5YiPyEh_tmPVOdQm1tg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g4', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--obstacle-delineator--g1', 'other-sign', 'regulatory--maximum-speed-limit-50--g6', 'regulatory--no-right-turn--g1', 'other-sign', 'warning--roundabout--g25', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",24,train,"['other-sign', 'regulatory--no-entry--g1']"
_cHgk4LFaRpDJKIKd-5hqQ,"['regulatory--go-straight--g1', 'regulatory--yield--g1', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,train,"['other-sign', 'regulatory--yield--g1']"
_ea2ess7ZlbdBZlQsQ66Mg,"['regulatory--maximum-speed-limit-70--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",5,train,"['other-sign', 'regulatory--no-entry--g1']"
_j7hiPrSSSUe-Sdr-gOBBg,"['complementary--chevron-left--g1', 'other-sign']",2,train,"['other-sign', 'complementary--chevron-left--g1']"
_kW3AQOEKlcWgUOlv9KIIA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",15,val,"['other-sign', 'complementary--chevron-left--g1']"
_lBP4opvSp84L6dwMS4nMw,"['regulatory--no-entry--g1', 'other-sign']",2,test,"['other-sign', 'regulatory--no-entry--g1']"
_lVl87mXTWApcEaTVzm8Hg,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",19,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
_l_U066jmPuFNAcmnVUkkQ,"['warning--height-restriction--g2', 'other-sign', 'other-sign']",3,train,['other-sign']
_mdF5eQljH_9XhE7QH5yeQ,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-stopping--g15']",3,train,['information--pedestrians-crossing--g1']
_mxkfW8MHA0QjgkZeLiKfA,"['regulatory--priority-road--g4', 'regulatory--end-of-speed-limit-zone--g1', 'warning--children--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--no-entry--g1']"
_oMDr3nEe6o4r7DcepZDnw,"['other-sign', 'regulatory--keep-right--g1', 'regulatory--no-parking--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
_qQajQ3_jt6pJEfs2IRnXQ,"['regulatory--no-entry--g1', 'other-sign']",2,train,"['other-sign', 'regulatory--no-entry--g1']"
_qs9YzY5Ju61oF715XA5Ew,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--roundabout--g1', 'regulatory--bicycles-only--g1', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
_tYSRrxDwm9vjnxCOSnHCA,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'regulatory--roundabout--g1', 'regulatory--roundabout--g1', 'complementary--chevron-right--g3', 'complementary--chevron-right-unsure--g6', 'complementary--chevron-right-unsure--g6']",9,train,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
_wccB8hHnqUxLON6JufITg,"['other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",7,train,"['other-sign', 'complementary--chevron-left--g1']"
_xhen6c3c4GSLNpojKbDWw,"['regulatory--yield--g1', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'information--motorway--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--food--g2', 'other-sign']",15,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
a39VwTAn6loVxdD9__NlRQ,"['other-sign', 'regulatory--yield--g1', 'other-sign']",3,train,"['other-sign', 'regulatory--yield--g1']"
a4CRCHJcixjl3fcM7TdEbA,"['regulatory--no-parking--g1', 'regulatory--weight-limit--g1', 'regulatory--yield--g1', 'regulatory--width-limit--g1']",4,train,['regulatory--yield--g1']
aA8SYgJc81OaOiRE-PlVbA,"['regulatory--maximum-speed-limit-80--g1', 'regulatory--maximum-speed-limit-80--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",7,val,"['other-sign', 'complementary--chevron-left--g1']"
aGbH3jT2938vlmmmSa2_rg,"['complementary--chevron-left--g1', 'warning--road-narrows-left--g2', 'other-sign', 'other-sign']",4,train,"['other-sign', 'complementary--chevron-left--g1']"
aMSa-LCW4_Ci0U-2beseQg,"['regulatory--maximum-speed-limit-70--g1', 'regulatory--keep-right--g1', 'regulatory--height-limit--g1', 'other-sign', 'warning--railroad-crossing-without-barriers--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,['other-sign']
